annonce_id,date_publication,titre,ville,quartier,type_bien,transaction,prix,surface,nb_chambres,nb_salles_bain,etage,annee_construction
ANO001110,2024-11-20,Duplex moderne Marrakech,Marrakech,Targa,Duplex,Location,5785.75,95.39,3.0,1.0,1.0,2016.0
ANO000079,2024-01-15,Villa moderne Fès,Fès,Ville Nouvelle,Villa,Vente,3271972.04,300.71,3.0,2.0,0.0,1969.0
ANO000724,2023-10-12,Beau Appartement Tanger,Tanger,,Appartement,Vente,605963.0,109.68,2.0,1.0,1.0,2009.0
ANO000034,2024-05-17,Appartement à vente - Rabat,Rabat,Ocean,Appartement,Vente,521849.54,49.62,3.0,1.0,,1993.0
ANO000723,2024-02-12,Beau Villa Fès,Fès,Zouagha,Villa,Location,19134.85,149.39,5.0,2.0,0.0,1996.0
ANO000932,,Villa 247m² Centre Ville,Tanger,Centre Ville,Villa,Vente,1736650.85,247.48,6.0,3.0,,2003.0
ANO000898,2023-09-27,Terrain moderne Tanger,Tanger,Iberia,Terrain,Location,2907.1,295.28,,0.0,0.0,2008.0
ANO001322,2024-11-20,Beau Villa Oujda,Oujda,Hay Qods,Villa,Vente,2584419.84,201.34,6.0,4.0,0.0,2012.0
ANO001446,2024-12-11,Beau Appartement Casablanca,Casablanca,Bourgogne,,Vente,472531.35,43.47,2.0,2.0,0.0,2007.0
ANO000652,2023-05-19,Beau Bureau Tétouan,Tétouan,M'diq,Bureau,Vente,938493.46,96.17,0.0,0.0,,2020.0
ANO001211,2023-11-04,Terrain moderne Meknès,MEKNÈS,Hamria,Terrain,,978932.34,223.89,0.0,0.0,0.0,2008.0
ANO000305,2024-08-10,Appartement à vente - Marrakech,Marrakech,Targa,Appartement,Vente,579926.04,124.44,1.0,1.0,2.0,2009.0
ANO001067,,Villa 284m² Tanger,Tanger,,Villa,Location,8055.36,284.99,4.0,3.0,0.0,
ANO001304,2024-12-20,Villa à vente - Kenitra,Kenitra,Centre,Villa,Vente,4894844.8,136.78,5.0,2.0,0.0,2011.0
ANO000581,2023-07-13,Villa moderne Casablanca,Casablanca,Bourgogne,Villa,Vente,2147775.39,236.49,3.0,1.0,0.0,2001.0
ANO001237,2024-05-16,Appartement 85m² Marrakech,Marrakech,,Appartement,Vente,2169626.74,85.99,,1.0,0.0,
ANO000582,2023-07-17,Appartement moderne Marrakech,Marrakech,Hivernage,Appartement,Location,9859.01,61.82,3.0,2.0,2.0,2011.0
ANO000191,,Beau Appartement Rabat,Rabat,Souissi,Appartement,Vente,2007367.35,126.91,3.0,1.0,2.0,2004.0
ANO000797,2024-06-08,Beau Villa Tétouan,TÉTOUAN,M'diq,Villa,Vente,2645099.21,332.82,4.0,2.0,0.0,
ANO001019,2023-07-27,Villa moderne Tétouan,Tétouan,,Villa,Vente,3067468.29,181.46,4.0,2.0,0.0,
ANO000808,2024-03-13,Villa 231m² Ville Nouvelle,Fès,Ville Nouvelle,Villa,Vente,2784795.0,231.65,5.0,2.0,0.0,1999.0
ANO000140,2024-11-20,Beau Duplex Casablanca,Casablanca,Maarif,Duplex,Vente,1869404.78,208.96,4.0,3.0,0.0,2001.0
ANO001004,2023-01-17,Beau Bureau Marrakech,Marrakech,,Bureau,Vente,1011550.14,116.25,0.0,0.0,7.0,
ANO000298,2023-10-31,Bureau à vente - Meknès,Meknès,,Bureau,Vente,1402909.61,162.67,,0.0,5.0,
ANO000290,2023-04-13,Appartement moderne Tétouan,Tétouan,Centre,Appartement,Vente,590134.81,101.46,3.0,2.0,4.0,2024.0
ANO000236,2023-04-19,Beau Villa Tétouan,Tétouan,M'diq,Villa,Vente,2503004.98,147.57,4.0,3.0,0.0,2024.0
ANO000484,2024-10-29,Beau Appartement Agadir,Agadir,,Appartement,Location,8034.03,92.72,3.0,2.0,0.0,2023.0
ANO000460,2023-01-27,Appartement moderne Meknès,Meknès,,Appartement,Vente,674788.56,69.86,1.0,1.0,0.0,2024.0
ANO001273,2023-03-19,Appartement moderne Rabat,RABAT,Hay Riad,Appartement,Vente,504061.94,81.91,1.0,1.0,2.0,1994.0
ANO001352,,Villa moderne Meknès,Meknès,,Villa,Location,25169.05,168.42,4.0,3.0,0.0,2011.0
ANO000613,2024-02-12,Beau Appartement Kenitra,Kenitra,,Appartement,Vente,1542509.52,87.71,2.0,1.0,5.0,2009.0
ANO000162,2023-11-15,Duplex 112m² Talborjt,Agadir,Talborjt,Duplex,Vente,1922078.18,112.18,3.0,2.0,1.0,
ANO000527,2023-02-15,Appartement moderne Tétouan,Tétouan,Centre,Appartement,Vente,461849.01,64.74,2.0,2.0,0.0,2011.0
ANO001085,,Appartement à vente - Agadir,Agadir,Centre,Appartement,Vente,626639.22,111.45,2.0,2.0,5.0,2012.0
ANO000669,2023-06-16,Appartement moderne Tétouan,TÉTOUAN,Centre,Appartement,Vente,322766.24,90.33,2.0,2.0,3.0,
ANO000595,2024-03-03,Beau Appartement Casablanca,Casablanca,,Appartement,Vente,369433.56,104.0,2.0,1.0,1.0,2001.0
ANO000036,2023-01-03,Appartement 132m² Meknès,Meknès,,Appartement,Vente,598486.1,132.15,1.0,1.0,,2011.0
ANO000045,2023-01-30,Appartement moderne Casablanca,Casablanca,Maarif,Appartement,Vente,422523.55,96.84,3.0,1.0,3.0,1986.0
ANO000304,2023-11-21,Villa à vente - Fès,fès,Medina,Villa,Vente,3281627.36,225.38,6.0,3.0,0.0,2003.0
ANO001498,2024-08-03,Appartement 70m² Fès,Fès,,Appartement,Vente,435091.73,70.27,2.0,1.0,2.0,1993.0
ANO000016,2023-10-11,Beau Appartement Casablanca,CASABLANCA,Anfa,Appartement,Vente,1712062.32,73.48,4.0,2.0,3.0,2015.0
ANO000475,2023-12-27,Villa moderne Fès,Fès,,Villa,Location,8070.09,182.86,3.0,2.0,0.0,1984.0
ANO001325,2024-03-18,Appartement 87m² Hay Essalam,Kenitra,Hay Essalam,Appartement,Location,8556.1,87.17,1.0,1.0,2.0,2012.0
ANO001114,2024-09-27,Beau Bureau Fès,Fès,Ville Nouvelle,Bureau,Vente,1918544.33,148.24,0.0,0.0,,
ANO001469,2024-11-16,Terrain 401m² Centre Ville,Tanger,Centre Ville,Terrain,,762447.67,401.63,0.0,0.0,0.0,2009.0
ANO000185,2023-09-12,Beau Duplex Agadir,Agadir,Centre,Duplex,Vente,2500669.24,162.72,3.0,2.0,8.0,2012.0
ANO000252,2023-10-26,Terrain 186m² Hay Qods,Oujda,Hay Qods,Terrain,Vente,1116092.54,186.07,0.0,0.0,0.0,2024.0
ANO000182,2024-09-26,Beau Appartement Tétouan,Tétouan,,Appartement,Vente,722988.23,2500.0,3.0,2.0,3.0,
ANO000610,,Appartement 82m² Hay Mohammadi,Agadir,Hay Mohammadi,Appartement,Vente,719311.89,82.54,3.0,1.0,,2010.0
ANO001408,2024-10-26,Beau Appartement Casablanca,Casablanca,Bourgogne,Appartement,Vente,651372.93,84.86,3.0,1.0,0.0,2017.0
ANO001210,2023-06-05,Beau Bureau Kenitra,Kenitra,Centre,Bureau,Vente,1505611.91,58.29,0.0,0.0,,2004.0
ANO001289,2024-03-07,Villa à vente - Oujda,Oujda,Hay Qods,Villa,Vente,2014071.06,191.72,5.0,2.0,0.0,
ANO000691,2023-05-21,Terrain moderne Fès,Fès,,Terrain,Vente,1089619.25,448.34,,0.0,0.0,2001.0
ANO000429,2023-02-05,Appartement moderne Rabat,Rabat,Ocean,Appartement,Location,1822.73,51.72,2.0,2.0,3.0,1972.0
ANO001301,2023-04-01,Bureau à vente - Tanger,Tanger,Iberia,Bureau,Vente,977552.5,114.8,0.0,0.0,3.0,
ANO000156,2024-02-07,Beau Appartement Tétouan,Tétouan,M'diq,Appartement,Vente,523483.65,100.35,3.0,1.0,1.0,2016.0
ANO001389,2023-10-16,Beau Appartement Tanger,Tanger,Malabata,Appartement,Vente,498067.13,104.85,3.0,1.0,2.0,2007.0
ANO000810,2023-12-06,Beau Terrain Tanger,Tanger,,Terrain,Location,3125.37,434.92,0.0,0.0,,2007.0
ANO001208,2023-02-12,Beau Duplex Fès,Fès,Zouagha,Duplex,Vente,2010887.94,51.09,3.0,2.0,6.0,2000.0
ANO001158,2024-09-26,Beau Appartement Meknès,Meknès,Hamria,Appartement,Location,2161.18,86.31,3.0,2.0,4.0,2001.0
ANO001432,2024-01-10,Appartement à vente - Kenitra,Kenitra,,Appartement,Vente,524983.81,115.17,4.0,2.0,0.0,1997.0
ANO001133,2023-12-08,Appartement 122m² Ocean,Rabat,Ocean,,Location,2442.68,122.23,,1.0,2.0,2024.0
ANO000993,2024-05-22,Terrain moderne Rabat,Rabat,Ocean,Terrain,Location,4716.45,2500.0,0.0,0.0,0.0,2008.0
ANO000255,2023-09-17,Villa à vente - Casablanca,Casablanca,Non spécifié,Villa,Vente,9840126.81,242.32,4.0,2.0,,2017.0
ANO000238,2024-12-07,Appartement moderne Agadir,Agadir,Hay Mohammadi,Appartement,Vente,538394.43,71.38,2.0,2.0,0.0,2013.0
ANO000748,2024-11-04,Terrain 537m² Non spécifié,Casablanca,Non spécifié,Terrain,Vente,975323.89,537.17,0.0,0.0,0.0,1976.0
ANO001016,2023-01-14,Terrain moderne Tanger,Tanger,,Terrain,Vente,185017.62,439.09,0.0,0.0,0.0,2007.0
ANO000686,2023-12-12,Appartement à vente - Tanger,Tanger,,Appartement,Vente,1672296.86,73.09,2.0,1.0,3.0,2016.0
ANO000035,2024-07-25,Appartement à vente - Meknès,Meknès,,Appartement,Vente,508874.26,64.94,4.0,2.0,3.0,
ANO000335,2024-10-26,Beau Terrain Marrakech,Marrakech,Targa,Terrain,Vente,817889.11,222.37,0.0,0.0,0.0,2015.0
ANO000361,2023-01-24,Appartement à location - Casablanca,Casablanca,Anfa,Appartement,,7442.16,76.27,1.0,1.0,0.0,1995.0
ANO000127,2024-04-05,Appartement 64m² Talborjt,Agadir,Talborjt,Appartement,Location,11503.68,64.79,2.0,2.0,0.0,2003.0
ANO000822,2023-05-02,Beau Terrain Kenitra,KENITRA,Centre,Terrain,Location,1714.81,404.3,0.0,0.0,0.0,2017.0
ANO001291,2024-11-18,Appartement à vente - Casablanca,Casablanca,Maarif,Appartement,Vente,1443911.23,88.94,3.0,2.0,5.0,1983.0
ANO000831,2024-07-12,Villa à vente - Rabat,Rabat,,Villa,Vente,2193081.13,194.82,4.0,2.0,0.0,1992.0
ANO001072,2023-11-03,Beau Villa Kenitra,Kenitra,Centre,Villa,,2961619.31,308.85,4.0,3.0,0.0,2024.0
ANO000972,2023-08-28,Villa moderne Fès,Fès,Ville Nouvelle,Villa,Vente,2578960.92,304.84,4.0,3.0,0.0,2024.0
ANO000933,2024-04-12,Beau Appartement Fès,Fès,Ville Nouvelle,Appartement,Vente,2229251.13,40.35,3.0,1.0,0.0,1994.0
ANO000096,2023-04-26,Villa moderne Fès,Fès,,Villa,Location,4895.82,237.86,5.0,3.0,0.0,2008.0
ANO001150,2024-08-20,Appartement moderne Fès,Fès,,Appartement,Vente,453404.02,75.31,3.0,1.0,,1993.0
ANO000983,2024-03-05,Appartement moderne Tanger,Tanger,Malabata,Appartement,Vente,560225.13,15.0,2.0,1.0,6.0,2008.0
ANO000360,2024-07-11,Appartement 122m² Tétouan,Tétouan,,Appartement,Vente,1828753.94,122.52,3.0,2.0,2.0,2016.0
ANO000889,2024-04-19,Appartement moderne Oujda,Oujda,,Appartement,Vente,605584.76,50.82,2.0,1.0,0.0,2016.0
ANO001111,2024-03-29,Appartement à vente - Casablanca,Casablanca,Hay Mohammadi,Appartement,Vente,659652.59,46.36,,2.0,0.0,2023.0
ANO000641,2024-07-22,Duplex moderne Oujda,Oujda,,Duplex,Vente,612420.11,187.4,4.0,,3.0,2001.0
ANO001146,2024-04-30,Beau Appartement Oujda,Oujda,Hay Qods,Appartement,Vente,2355614.85,99.34,3.0,2.0,0.0,
ANO000690,,Appartement moderne Fès,Fès,,Appartement,Location,2135.55,120.57,2.0,1.0,4.0,
ANO000979,2024-12-14,Terrain moderne Kenitra,Kenitra,Hay Essalam,Terrain,Vente,1062814.04,476.72,0.0,0.0,0.0,2005.0
ANO000483,2023-09-18,Villa 296m² Agdal,Rabat,Agdal,Villa,Vente,5207074.98,296.91,5.0,2.0,,2018.0
ANO001145,2024-02-08,Appartement 82m² Malabata,Tanger,Malabata,Appartement,Location,2450.68,82.55,2.0,1.0,0.0,
ANO001308,2023-03-27,Villa moderne Kenitra,Kenitra,,Villa,Vente,6336352.12,222.29,6.0,4.0,0.0,1997.0
ANO000609,2024-05-19,Villa 285m² Centre,Tétouan,Centre,Villa,Location,9137.31,285.36,5.0,2.0,0.0,2001.0
ANO000900,2024-12-30,Bureau moderne Agadir,Agadir,Centre,Bureau,Vente,675112.32,144.88,0.0,0.0,4.0,2020.0
ANO001413,2024-10-12,Beau Appartement Meknès,Meknès,Hamria,Appartement,Location,2888.84,76.32,3.0,1.0,7.0,2021.0
ANO001033,2023-03-18,Beau Bureau Oujda,Oujda,,Bureau,Vente,1616689.87,143.34,0.0,0.0,0.0,2008.0
ANO000567,2024-02-08,Terrain 321m² Tanger,Tanger,,Terrain,Location,3816.69,321.55,0.0,0.0,0.0,2012.0
ANO000103,2023-08-28,Appartement 70m² Centre,Kenitra,Centre,Appartement,Location,2813.28,70.21,2.0,2.0,1.0,2014.0
ANO000496,2023-07-09,Appartement à vente - Kenitra,Kenitra,,Appartement,Vente,2373036.33,49.54,1.0,1.0,0.0,1995.0
ANO000026,2024-07-13,Appartement à vente - Tétouan,Tétouan,M'diq,Appartement,Vente,648628.3,87.18,2.0,2.0,6.0,2007.0
ANO001495,2024-03-28,Appartement à vente - Oujda,Oujda,Centre,Appartement,Vente,448581.52,98.83,2.0,2.0,2.0,
ANO000263,2023-12-02,Terrain moderne Marrakech,Marrakech,Gueliz,Terrain,Location,4200.71,355.1,0.0,,0.0,2009.0
ANO001209,2024-06-05,Beau Appartement Marrakech,Marrakech,Targa,Appartement,Vente,777732.04,61.3,2.0,,2.0,2003.0
ANO000212,2024-07-26,Beau Appartement Tétouan,Tétouan,M'diq,Appartement,Location,1995.1,12.0,2.0,1.0,2.0,1996.0
ANO000314,2023-07-21,Villa 147m² Ocean,Rabat,Ocean,Villa,Vente,5153882.05,147.58,,1.0,0.0,2013.0
ANO001228,2024-06-28,Beau Bureau Casablanca,Casablanca,Ain Diab,Bureau,Location,4170.35,127.15,0.0,0.0,6.0,2018.0
ANO001105,2024-05-21,Appartement à location - Agadir,Agadir,,Appartement,,3201.3,59.63,4.0,3.0,5.0,2007.0
ANO000526,2024-05-21,Appartement 44m² Hivernage,Marrakech,Hivernage,Appartement,Vente,545723.02,44.62,3.0,2.0,0.0,2019.0
ANO000363,2023-05-14,Appartement moderne Oujda,Oujda,Centre,Appartement,Vente,673634.01,90.97,2.0,2.0,10.0,2007.0
ANO000821,2024-10-17,Beau Villa Oujda,Oujda,Hay Qods,Villa,Vente,2237977.63,309.41,4.0,2.0,,2013.0
ANO000611,2023-12-19,Appartement 90m² Tanger,Tanger,,Appartement,Vente,634985.73,90.83,2.0,2.0,1.0,2017.0
ANO000222,2023-07-08,Bureau moderne Casablanca,CASABLANCA,Anfa,,Location,3930.52,91.49,0.0,0.0,1.0,2001.0
ANO000108,2023-10-30,Beau Appartement Marrakech,Marrakech,Hivernage,Appartement,Location,2485.68,64.54,2.0,2.0,2.0,
ANO000386,2023-06-30,Terrain 217m² Talborjt,Agadir,Talborjt,Terrain,Vente,1102945.13,217.42,0.0,0.0,0.0,2024.0
ANO001485,2023-02-10,Villa moderne Rabat,Rabat,Hay Riad,Villa,Vente,2774836.01,273.73,5.0,3.0,0.0,2019.0
ANO000225,2023-10-21,Bureau à location - Oujda,Oujda,,Bureau,Location,4251.7,3000.0,0.0,0.0,3.0,1998.0
ANO000757,2023-02-20,Appartement 82m² Californie,Casablanca,Californie,Appartement,Vente,489498.42,82.96,1.0,,1.0,2005.0
ANO000788,,Beau Appartement Casablanca,Casablanca,Maarif,Appartement,Vente,387679.57,46.94,2.0,1.0,10.0,2016.0
ANO001453,2024-07-22,Appartement à vente - Fès,FÈS,Ville Nouvelle,Appartement,Vente,577244.14,76.9,3.0,1.0,0.0,2008.0
ANO000872,2023-08-07,Appartement 99m² Meknès,Meknès,,Appartement,Location,7989.57,99.97,4.0,2.0,,2015.0
ANO000964,2023-10-29,Appartement à vente - Oujda,Oujda,Hay Qods,Appartement,Vente,595958.68,88.53,2.0,2.0,,1992.0
ANO001006,2023-04-29,Appartement 47m² Meknès,Meknès,,Appartement,Vente,674605.46,47.02,,1.0,0.0,1987.0
ANO001459,2024-09-02,Appartement à location - Tanger,Tanger,Malabata,Appartement,Location,2677.33,101.15,3.0,1.0,3.0,1991.0
ANO001367,2024-10-12,Beau Bureau Agadir,Agadir,Centre,Bureau,Vente,1147132.26,122.89,0.0,0.0,6.0,1997.0
ANO000435,2023-08-23,Bureau à vente - Agadir,Agadir,Talborjt,Bureau,Vente,1130016.1,89.77,0.0,0.0,3.0,2014.0
ANO000663,2023-05-25,Beau Terrain Tanger,Tanger,,Terrain,Vente,60000000.0,361.94,0.0,0.0,0.0,2004.0
ANO000202,2023-03-21,Villa moderne Kenitra,Kenitra,Centre,Villa,Vente,8033456.79,283.07,5.0,2.0,0.0,2024.0
ANO000865,2024-10-08,Appartement moderne Kenitra,Kenitra,Centre,Appartement,Vente,544861.19,86.45,4.0,2.0,7.0,
ANO000367,2023-06-19,Villa moderne Casablanca,Casablanca,Anfa,,Vente,2658163.84,277.72,4.0,2.0,0.0,2014.0
ANO000151,2023-06-11,Villa moderne Meknès,Meknès,Ville Nouvelle,Villa,Vente,5905981.35,326.41,5.0,2.0,0.0,2002.0
ANO000515,2023-10-24,Appartement à location - Agadir,Agadir,Centre,Appartement,Location,10658.01,73.57,3.0,2.0,2.0,
ANO000250,2023-07-17,Beau Duplex Tanger,TANGER,Iberia,Duplex,Vente,1346770.24,119.42,2.0,2.0,7.0,1998.0
ANO001122,2023-10-02,Villa à vente - Marrakech,Marrakech,,Villa,Vente,1522276.25,193.28,,2.0,0.0,2024.0
ANO000485,2023-11-23,Beau Appartement Tétouan,tétouan,M'diq,Appartement,Vente,2096301.27,150.04,3.0,2.0,,2014.0
ANO000224,2024-08-28,Villa moderne Tétouan,Tétouan,,Villa,Vente,2745753.43,349.69,,2.0,0.0,1993.0
ANO000634,2024-07-15,Beau Villa Meknès,Meknès,Hamria,Villa,Vente,2052259.84,305.76,4.0,2.0,0.0,2007.0
ANO000857,2024-05-05,Beau Villa Rabat,Rabat,Souissi,Villa,Vente,2629225.56,231.23,6.0,4.0,0.0,2000.0
ANO000896,2023-11-10,Appartement moderne Tétouan,Tétouan,,Appartement,Vente,587938.71,96.73,2.0,1.0,2.0,1997.0
ANO000419,2023-12-01,Villa à vente - Meknès,Meknès,Hamria,Villa,Vente,7841503.49,153.23,6.0,4.0,,2023.0
ANO000823,2024-11-17,Villa moderne Fès,Fès,Medina,Villa,Location,7273.43,253.04,3.0,2.0,0.0,2010.0
ANO001257,2024-03-02,Villa 205m² Hassan,Rabat,Hassan,Villa,Vente,2532351.37,205.77,4.0,3.0,0.0,2015.0
ANO001458,2023-09-22,Appartement à vente - Fès,Fès,Zouagha,Appartement,Vente,484474.98,57.7,3.0,2.0,5.0,2002.0
ANO000280,2023-10-01,Appartement à location - Rabat,Rabat,Ocean,Appartement,,6402.63,109.61,2.0,1.0,1.0,1996.0
ANO000552,2023-10-19,Beau Appartement Meknès,Meknès,Ville Nouvelle,Appartement,Location,7434.93,93.46,2.0,1.0,4.0,2007.0
ANO000963,2023-06-18,Appartement 119m² Agadir,Agadir,,Appartement,Location,1947.4,119.71,,2.0,7.0,2006.0
ANO000885,2023-09-08,Villa à vente - Casablanca,Casablanca,,Villa,Vente,2455396.04,332.45,4.0,2.0,0.0,1990.0
ANO000904,2024-06-27,Beau Bureau Fès,Fès,Medina,Bureau,Vente,1825365.34,87.26,0.0,0.0,8.0,2022.0
ANO001366,2023-09-01,Appartement 99m² M'diq,Tétouan,M'diq,Appartement,Vente,426165.37,99.89,2.0,2.0,4.0,2005.0
ANO000749,2023-01-28,Beau Appartement Rabat,Rabat,Ocean,Appartement,Vente,744065.51,87.61,3.0,1.0,0.0,1986.0
ANO001244,2023-06-27,Beau Terrain Tanger,Tanger,Centre Ville,Terrain,Vente,105156.84,402.96,0.0,0.0,0.0,2003.0
ANO001238,2023-12-18,Appartement moderne Casablanca,Casablanca,Ain Diab,Appartement,Vente,1473673.67,92.03,,1.0,5.0,
ANO001281,2023-07-29,Villa à vente - Agadir,Agadir,Centre,Villa,Vente,1892838.43,193.22,6.0,4.0,0.0,2017.0
ANO000977,2024-05-31,Appartement 109m² Kenitra,Kenitra,,Appartement,Location,10524.99,109.64,3.0,1.0,0.0,2016.0
ANO000398,2023-04-08,Appartement moderne Meknès,Meknès,Hamria,Appartement,Location,1559.67,69.97,,2.0,6.0,2012.0
ANO001438,2024-04-06,Beau Appartement Marrakech,Marrakech,Gueliz,Appartement,Location,1362.06,97.37,2.0,1.0,,
ANO001390,2023-06-06,Appartement 109m² Kenitra,Kenitra,,Appartement,Vente,520433.99,109.66,2.0,,0.0,2004.0
ANO000370,2024-05-31,Appartement à vente - Meknès,Meknès,Ville Nouvelle,Appartement,Vente,423590.13,69.41,2.0,2.0,,2024.0
ANO000487,2024-11-18,Appartement à location - Rabat,Rabat,,Appartement,Location,2819.08,101.83,3.0,,,1997.0
ANO001286,2024-07-04,Appartement moderne Rabat,Rabat,Hassan,Appartement,Vente,531844.09,50.11,3.0,1.0,5.0,2008.0
ANO000119,2023-09-16,Beau Appartement Marrakech,Marrakech,Targa,Appartement,Location,2190.87,59.94,4.0,2.0,4.0,2009.0
ANO000966,2024-10-19,Beau Appartement Kenitra,Kenitra,,Appartement,Vente,1021148.52,32.9,2.0,2.0,0.0,
ANO001218,2024-02-01,Terrain 353m² Hay Mohammadi,Agadir,Hay Mohammadi,Terrain,Vente,965239.27,353.37,0.0,0.0,0.0,2003.0
ANO001360,2023-07-03,Beau Villa Kenitra,Kenitra,Hay Essalam,Villa,Vente,1196271.57,218.93,25.0,13.0,,2007.0
ANO001118,2023-10-05,Villa à vente - Meknès,Meknès,Ville Nouvelle,Villa,Vente,5488638.18,284.27,3.0,1.0,,2010.0
ANO000507,2024-06-01,Appartement à vente - Oujda,Oujda,Centre,Appartement,Vente,427097.58,131.35,2.0,2.0,5.0,2019.0
ANO000548,2023-06-04,Beau Bureau Casablanca,Casablanca,,Bureau,Vente,1764888.22,116.81,0.0,0.0,7.0,2006.0
ANO000807,2023-03-06,Appartement 51m² Centre,Oujda,Centre,Appartement,Location,2387.53,51.84,2.0,1.0,1.0,
ANO000018,2023-09-12,Appartement 68m² Talborjt,Agadir,Talborjt,Appartement,Vente,503790.13,68.08,2.0,1.0,1.0,2014.0
ANO000425,2023-07-20,Beau Villa Casablanca,Casablanca,Ain Diab,Villa,Location,6615.37,224.69,5.0,2.0,0.0,2018.0
ANO000318,2023-05-27,Duplex à location - Meknès,Meknès,,Duplex,Location,8044.93,87.42,3.0,1.0,6.0,2021.0
ANO000174,2023-09-19,Beau Duplex Kenitra,Kenitra,,Duplex,Vente,2250832.27,66.53,3.0,2.0,1.0,2014.0
ANO000678,2023-01-24,Villa à vente - Tétouan,Tétouan,,Villa,Vente,1713226.9,288.11,4.0,2.0,0.0,2014.0
ANO000796,2023-08-17,Appartement moderne Kenitra,Kenitra,Hay Essalam,Appartement,Vente,458980.56,79.24,,2.0,3.0,2002.0
ANO001181,2023-09-03,Beau Appartement Meknès,Meknès,Hamria,Appartement,,589702.16,121.28,2.0,1.0,3.0,
ANO001262,2023-01-10,Terrain à location - Meknès,MEKNÈS,,Terrain,Location,1793.32,355.72,0.0,0.0,0.0,2005.0
ANO001284,,Appartement 71m² Medina,Fès,Medina,Appartement,Location,1512.09,71.88,2.0,2.0,0.0,2007.0
